TRGID,ProgramName,MasterProgramName,CategoryName,Manufacturer,Classification_PHYSICAL CONDITION,Classification_CONDITION,RTVType,OrderNumber,Sale Price (Discount applied),Retail Price On Sale Date,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Order Type Sold On,Marketplace Sold On,OrderCustomerName,OrderCustomerCompanyName,MarketplacePONumber,SortingIndex,LocationID,OrderCreatedDate
TRG00020,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,Good,B,,ORD-10020,137.17,185.66,57.00,84.05,Liquidation,Walmart,Sam Patel,Acme Returns LLC,PO-20,,,2026-08-31
TRG00021,BRTON-WM-BAR,Walmart Computer Parts (Finished),Accessories,HP,Very Good,C,Non RTV,ORD-10021,99.40,177.76,199.43,184.70,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-21,,,2026-09-09
TRG00022,MIAFL-HEAD-OFFICE,Open Box Returns,Headphones,Samsung,Very Good,B,Non RTV,ORD-10022,153.83,53.38,196.41,206.59,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-22,,,2026-09-15
TRG00023,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,HP,Good,C,,ORD-10023,92.90,175.25,69.68,168.93,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-23,,,2026-08-17
TRG00024,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Samsung,Good,C,RTV Liquidate,ORD-10024,27.37,152.02,259.70,127.11,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-24,,,2026-08-11
TRG00025,PHXAZ-RETURNS,Specialty,Tablets,Samsung,Very Good,B,,ORD-10025,189.45,45.48,135.56,57.50,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-25,,,2026-09-01
TRG00026,BRTON-WM-FOO,Warehouse Direct,Computers,HP,Good,A,Non RTV,ORD-10026,176.98,145.13,166.92,71.29,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-26,,,2026-09-10
TRG00027,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Computers,Dell,Damaged,B,Non RTV,ORD-10027,18.35,91.24,256.21,244.56,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-27,,,2026-08-27
TRG00028,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Monitors,Dell,Damaged,B,Non RTV,ORD-10028,54.80,78.60,76.09,128.42,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-28,,,2026-09-13
TRG00029,BRTON-WM-BAR,Specialty,Monitors,HP,Very Good,C,Non RTV,ORD-10029,141.72,70.28,175.57,239.56,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-29,,,2026-08-26
TRG00030,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Tablets,Samsung,Very Good,A,Non RTV,ORD-10030,133.36,117.08,91.23,193.28,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-30,12,LOC-21,2026-09-01
TRG00032,PHXAZ-RETURNS,Warehouse Direct,Monitors,Samsung,Damaged,A,RTV Liquidate,ORD-10032,171.41,130.12,97.38,137.71,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-32,,,2026-09-09
TRG00033,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),Accessories,Dell,Very Good,A,RTV Liquidate,ORD-10033,105.31,249.51,224.85,41.73,Retail,Walmart,Alex Nguyen,Acme Returns LLC,PO-33,,,2026-09-14
TRG00034,MIAFL-HEAD-OFFICE,Open Box Returns,Monitors,Samsung,Fair,C,RTV Liquidate,ORD-10034,95.26,52.84,60.56,60.45,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-34,,,2026-09-03
TRG00035,MILON-WM-DOTCA-RTV,Warehouse Direct,TVs,Dell,Fair,C,RTV Liquidate,ORD-10035,73.98,109.44,249.20,198.72,Retail,Walmart,Alex Nguyen,Acme Returns LLC,PO-35,,,2026-08-16
TRG00038,MIAFL-HEAD-OFFICE,Walmart Finished Goods Wide Sku (Finished),Headphones,Samsung,Very Good,C,Non RTV,ORD-10038,44.65,126.56,79.74,100.90,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-38,9,LOC-31,2026-09-13
TRG00040,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Samsung,Good,C,,ORD-10040,112.84,97.94,225.35,197.46,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-40,,,2026-08-25
TRG00041,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,HP,Fair,C,Non RTV,ORD-10041,122.89,100.81,246.89,211.26,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-41,2,LOC-7,2026-08-15
TRG00043,MILON-WM-DOTCA-RTV,Specialty,Computers,Dell,Fair,B,,ORD-10043,136.93,74.16,96.58,54.74,Retail,eBay,Jordan Lee,Acme Returns LLC,PO-43,,,2026-08-14
TRG00044,MIAFL-HEAD-OFFICE,Specialty,TVs,Dell,Very Good,A,RTV Liquidate,ORD-10044,140.19,117.17,254.37,112.88,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-44,10,LOC-36,2026-08-20
TRG00046,MIAFL-HEAD-OFFICE,Open Box Returns,Tablets,Samsung,Damaged,B,RTV Liquidate,ORD-10046,112.47,203.25,41.61,84.79,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-46,,,2026-08-14
TRG00048,BRTON-WM-BAR,Walmart Monitors (Finished),Tablets,HP,Fair,C,RTV Liquidate,ORD-10048,91.20,185.86,105.09,123.87,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-48,,,2026-08-14
TRG00050,MILON-WM-DOTCA-RTV,Warehouse Direct,Tablets,HP,Fair,A,,ORD-10050,113.42,238.40,222.32,250.38,Wholesale,eBay,Sam Patel,Acme Returns LLC,PO-50,,,2026-09-01
TRG00052,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),TVs,HP,Good,A,Non RTV,ORD-10052,0.00,96.58,127.95,264.84,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-52,,,2026-09-05
TRG00053,PHXAZ-RETURNS,Open Box Returns,TVs,Samsung,Very Good,C,,ORD-10053,59.39,42.68,117.25,140.44,Liquidation,eBay,Alex Nguyen,The Recon Group LLP,PO-53,6,LOC-55,2026-08-10
TRG00054,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),TVs,Samsung,Fair,A,,ORD-10054,130.11,240.94,196.55,67.75,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-54,8,LOC-39,2026-08-13
TRG00055,PHXAZ-RETURNS,Warehouse Direct,Accessories,Dell,Damaged,B,,ORD-10055,48.59,167.34,165.15,104.49,Retail,Walmart,Sam Patel,Acme Returns LLC,PO-55,,,2026-08-14
TRG00057,DALLX-HEADPHONES,Walmart Monitors (Finished),Tablets,HP,Damaged,A,RTV Liquidate,ORD-10057,17.84,135.57,217.89,201.58,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-57,,,2026-08-29
TRG00058,MILON-WM-DOTCA-RTV,Specialty,Monitors,Samsung,Very Good,A,RTV Liquidate,ORD-10058,0.00,192.26,84.80,100.70,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-58,,,2026-08-21
TRG00059,DALLX-HEADPHONES,Walmart Monitors (Finished),Tablets,Samsung,Fair,A,,ORD-10059,62.05,128.19,46.70,91.99,Liquidation,Walmart,Sender Shamiss,Acme Returns LLC,PO-59,,,2026-09-09
TRG00060,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Headphones,HP,Fair,C,,ORD-10060,59.08,249.78,210.49,236.78,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-60,,,2026-08-13
TRG00062,PHXAZ-RETURNS,Specialty,Monitors,Dell,Damaged,B,,ORD-10062,148.37,96.81,177.34,68.47,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-62,,,2026-08-21
TRG00064,BRTON-WM-FOO,Walmart Monitors (Finished),Monitors,HP,Fair,B,Non RTV,ORD-10064,117.98,232.09,179.73,65.07,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-64,,,2026-08-06
TRG00065,BRTON-WM-BAR,Walmart Computer Parts (Finished),TVs,Dell,Very Good,A,Non RTV,ORD-10065,189.99,53.47,157.82,221.89,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-65,,,2026-08-08
TRG00067,DALLX-HEADPHONES,Walmart Monitors (Finished),Computers,Samsung,Good,B,Non RTV,ORD-10067,80.56,81.22,159.82,248.05,Liquidation,eBay,Sam Patel,Acme Returns LLC,PO-67,10,LOC-25,2026-08-14
TRG00068,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),TVs,Samsung,Damaged,C,,ORD-10068,66.99,240.36,69.29,141.63,Liquidation,eBay,Jordan Lee,Acme Returns LLC,PO-68,,,2026-08-20
TRG00069,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Monitors,Dell,Damaged,C,RTV Approved,ORD-10069,0.00,104.49,65.78,34.99,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-69,,,2026-08-28
TRG00070,MILON-WM-DOTCA-RTV,Specialty,TVs,Dell,Damaged,B,Research,ORD-10070,168.52,184.10,104.82,49.92,Retail,eBay,Jordan Lee,Acme Returns LLC,PO-70,9,LOC-32,2026-08-30
TRG00071,WFS-OVERFLOW,Walmart Monitors (Finished),Headphones,Samsung,Damaged,A,Non RTV,ORD-10071,140.77,224.01,222.23,30.09,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-71,7,LOC-50,2026-08-07
TRG00073,PHXAZ-RETURNS,Open Box Returns,TVs,Dell,Good,C,RTV Liquidate,ORD-10073,23.44,233.15,103.06,163.24,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-73,,,2026-08-15
TRG00074,BRTON-WM-BAR,Walmart Computer Parts (Finished),Headphones,Dell,Good,B,,ORD-10074,97.50,95.76,151.31,46.05,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-74,6,LOC-4,2026-09-03
TRG00075,PHXAZ-RETURNS,Specialty,Computers,Samsung,Very Good,C,Non RTV,ORD-10075,109.82,178.52,226.11,186.88,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-75,,,2026-09-13
TRG00076,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,HP,Good,A,RTV Liquidate,ORD-10076,105.35,85.68,146.63,82.66,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-76,11,LOC-6,2026-09-12
TRG00077,MILON-WM-DOTCA-RTV,Open Box Returns,TVs,Samsung,Very Good,B,,ORD-10077,76.88,64.26,111.41,177.38,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-77,11,LOC-36,2026-08-31
TRG00078,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),Headphones,Dell,Fair,A,RTV Liquidate,ORD-10078,83.94,191.13,133.82,234.08,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-78,,,2026-09-07
TRG00079,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Accessories,Samsung,Good,A,,ORD-10079,19.04,175.53,85.24,114.51,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-79,,,2026-08-18
TRG00080,MIAFL-HEAD-OFFICE,Walmart Finished Goods Wide Sku (Finished),Tablets,Samsung,Damaged,B,,ORD-10080,190.05,79.93,210.67,241.59,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-80,,,2026-08-11
TRG00081,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),Tablets,HP,Fair,C,,ORD-10081,159.66,122.98,217.52,52.98,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-81,,,2026-08-31
TRG00082,BRTON-WM-FOO,Open Box Returns,TVs,HP,Good,B,Non RTV,ORD-10082,127.60,193.08,195.75,232.34,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-82,,,2026-09-04
TRG00083,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Tablets,HP,Damaged,C,Non RTV,ORD-10083,94.70,102.15,50.33,224.76,Liquidation,Shopify,Alex Nguyen,Acme Returns LLC,PO-83,,,2026-08-24
TRG00084,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Monitors,Dell,Good,A,RTV Liquidate,ORD-10084,179.82,35.05,49.09,40.31,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-84,,,2026-09-01
TRG00085,BRTON-WM-FOO,Walmart Computer Parts (Finished),TVs,Dell,Damaged,B,Non RTV,ORD-10085,0.00,107.79,80.69,255.13,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-85,,,2026-09-02
TRG00086,BRTON-WM-BAR,Walmart Computers Parts (Finished),TVs,Samsung,Very Good,C,Non RTV,ORD-10086,182.29,187.24,49.77,170.64,Retail,eBay,Jordan Lee,Acme Returns LLC,PO-86,6,LOC-58,2026-09-06
TRG00087,MIAFL-HEAD-OFFICE,Open Box Returns,Computers,Dell,Fair,B,Non RTV,ORD-10087,154.25,232.68,228.88,222.02,Wholesale,Walmart,Sam Patel,Acme Returns LLC,PO-87,,,2026-09-09
TRG00088,MIAFL-HEAD-OFFICE,Open Box Returns,Computers,HP,Very Good,B,RTV Liquidate,ORD-10088,101.35,101.55,252.31,107.92,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-88,,,2026-08-06
TRG00090,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),Headphones,HP,Very Good,B,,ORD-10090,171.09,88.34,118.35,152.28,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-90,12,LOC-12,2026-09-01
TRG00091,MILON-WM-DOTCA-RTV,Open Box Returns,Accessories,Dell,Fair,B,RTV Liquidate,ORD-10091,41.33,139.04,158.45,218.47,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-91,,,2026-08-14
TRG00092,MILON-WM-DOTCA-RTV,Warehouse Direct,Computers,Dell,Good,C,Non RTV,ORD-10092,149.07,161.04,103.21,75.11,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-92,,,2026-08-06
TRG00093,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Headphones,HP,Very Good,C,,ORD-10093,47.88,191.46,157.53,40.23,Liquidation,Shopify,Sam Patel,Acme Returns LLC,PO-93,,,2026-08-18
TRG00094,WFS-OVERFLOW,Walmart Monitors (Finished),Tablets,HP,Good,C,,ORD-10094,39.84,209.05,118.13,128.34,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-94,6,LOC-59,2026-08-23
TRG00095,PHXAZ-RETURNS,Warehouse Direct,Accessories,HP,Very Good,C,RTV Liquidate,ORD-10095,43.99,56.46,186.83,148.32,Retail,Amazon,Jordan Lee,Acme Returns LLC,PO-95,,,2026-08-07
TRG00096,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Samsung,Damaged,B,Non RTV,ORD-10096,150.94,185.01,152.83,109.92,Wholesale,eBay,Jordan Lee,Acme Returns LLC,PO-96,9,LOC-50,2026-09-05
TRG00097,BRTON-WM-FOO,Specialty,Monitors,Samsung,Good,B,,ORD-10097,144.90,218.16,125.67,231.92,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-97,,,2026-08-21
TRG00098,BRTON-WM-BAR,Walmart Monitors (Finished),Headphones,Samsung,Very Good,A,Non RTV,ORD-10098,134.40,48.53,205.67,130.74,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-98,1,LOC-53,2026-09-15
TRG00099,DALLX-HEADPHONES,Walmart Monitors (Finished),Computers,Dell,Fair,C,Non RTV,ORD-10099,131.20,187.68,50.04,42.05,Retail,Walmart,Jordan Lee,Acme Returns LLC,PO-99,12,LOC-40,2026-08-12
TRG00100,WFS-OVERFLOW,Open Box Returns,Computers,HP,Fair,B,Research,ORD-10100,80.44,70.03,48.84,140.18,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-100,,,2026-08-26
TRG00102,BRTON-WM-BAR,Walmart Computer Parts (Finished),TVs,Samsung,Fair,C,RTV Approved,ORD-10102,92.97,74.99,97.70,41.30,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-102,4,LOC-53,2026-08-19
TRG00105,PHXAZ-RETURNS,Open Box Returns,Monitors,Samsung,Fair,B,RTV Liquidate,ORD-10105,50.99,34.99,84.97,131.10,Wholesale,Shopify,Alex Nguyen,Acme Returns LLC,PO-105,,,2026-08-30
TRG00106,WFS-OVERFLOW,Walmart Computers Parts (Finished),Monitors,Dell,Damaged,B,,ORD-10106,0.00,78.19,88.11,240.00,Wholesale,Walmart,Alex Nguyen,The Recon Group LLP,PO-106,,,2026-08-12
TRG00107,MILON-WM-DOTCA-RTV,Open Box Returns,Computers,Dell,Damaged,B,RTV Liquidate,ORD-10107,158.72,41.97,52.55,153.19,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-107,6,LOC-60,2026-08-24
TRG00109,WFS-OVERFLOW,Walmart Monitors (Finished),Headphones,Dell,Damaged,A,RTV Approved,ORD-10109,148.59,48.82,131.20,214.27,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-109,1,LOC-13,2026-09-06
TRG00110,WFS-OVERFLOW,Open Box Returns,Computers,HP,Damaged,A,Non RTV,ORD-10110,174.21,36.49,160.86,101.51,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-110,3,LOC-40,2026-08-13
TRG00111,DALLX-HEADPHONES,Open Box Returns,TVs,Samsung,Damaged,B,Research,ORD-10111,148.23,135.03,187.25,69.02,Liquidation,Amazon,Jordan Lee,Acme Returns LLC,PO-111,,,2026-09-03
TRG00114,BRTON-WM-BAR,Specialty,Accessories,Dell,Very Good,C,RTV Liquidate,ORD-10114,0.00,234.08,168.31,79.89,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-114,,,2026-09-10
TRG00117,BRTON-WM-FOO,Walmart Monitors (Finished),Tablets,Dell,Very Good,B,RTV Approved,ORD-10117,162.82,118.24,86.00,136.86,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-117,,,2026-08-08
TRG00118,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),TVs,HP,Good,B,RTV Liquidate,ORD-10118,31.19,63.34,132.79,188.09,Wholesale,Shopify,Sender Shamiss,Acme Returns LLC,PO-118,,,2026-08-23
TRG00119,MILON-WM-DOTCA-RTV,Open Box Returns,Computers,Samsung,Very Good,A,Non RTV,ORD-10119,27.13,97.54,154.49,58.32,Liquidation,Walmart,Alex Nguyen,Acme Returns LLC,PO-119,,,2026-09-05
TRG00120,WFS-OVERFLOW,Walmart Computers Parts (Finished),TVs,Dell,Good,C,RTV Liquidate,ORD-10120,56.63,192.91,90.52,240.88,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-120,,,2026-08-19
TRG00121,WFS-OVERFLOW,Warehouse Direct,Monitors,Samsung,Good,C,,ORD-10121,59.80,37.00,182.47,70.23,Liquidation,Amazon,Sam Patel,Acme Returns LLC,PO-121,,,2026-08-25
TRG00122,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),Accessories,HP,Good,B,,ORD-10122,97.40,54.11,248.84,221.65,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-122,,,2026-08-16
TRG00123,BRTON-WM-BAR,Open Box Returns,Computers,Samsung,Damaged,A,,ORD-10123,30.57,193.43,154.42,225.57,Wholesale,Amazon,Alex Nguyen,Acme Returns LLC,PO-123,3,LOC-20,2026-09-11
TRG00124,BRTON-WM-FOO,Warehouse Direct,Accessories,HP,Good,C,Non RTV,ORD-10124,61.90,224.74,196.29,43.61,Wholesale,Shopify,Sam Patel,Acme Returns LLC,PO-124,,,2026-09-13
TRG00125,WFS-OVERFLOW,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,Very Good,C,,ORD-10125,132.45,148.07,126.95,191.00,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-125,,,2026-09-11
TRG00126,BRTON-WM-FOO,Open Box Returns,TVs,HP,Damaged,B,,ORD-10126,128.00,151.71,101.89,114.61,Wholesale,Amazon,Sam Patel,Acme Returns LLC,PO-126,2,LOC-33,2026-08-19
TRG00130,BRTON-WM-BAR,Walmart Computers Parts (Finished),Computers,Dell,Fair,C,RTV Approved,ORD-10130,118.03,102.91,119.88,253.38,Retail,Amazon,Sam Patel,Acme Returns LLC,PO-130,,,2026-08-29
TRG00131,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,Very Good,B,RTV,ORD-10131,17.20,149.26,209.48,221.97,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-131,,,2026-08-24
TRG00132,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,Dell,Damaged,C,Non RTV,ORD-10132,134.63,107.62,171.83,38.40,Retail,Shopify,Jordan Lee,Acme Returns LLC,PO-132,,,2026-08-16
TRG00133,MIAFL-HEAD-OFFICE,Open Box Returns,Accessories,Dell,Damaged,C,,ORD-10133,160.05,123.92,186.13,87.37,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-133,,,2026-08-07
TRG00134,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Accessories,HP,Fair,B,Non RTV,ORD-10134,139.06,130.74,112.53,189.78,Wholesale,Walmart,Alex Nguyen,Acme Returns LLC,PO-134,,,2026-09-01
TRG00135,WFS-OVERFLOW,Warehouse Direct,Monitors,HP,Very Good,C,Non RTV,ORD-10135,177.04,133.52,184.13,222.06,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-135,,,2026-08-25
TRG00136,WFS-OVERFLOW,Walmart Monitors (Finished),Computers,HP,Very Good,B,RTV Liquidate,ORD-10136,126.93,179.73,184.82,236.20,Liquidation,eBay,Jordan Lee,Acme Returns LLC,PO-136,,,2026-09-06
TRG00137,MIAFL-HEAD-OFFICE,Walmart Finished Goods Wide Sku (Finished),Tablets,Samsung,Damaged,C,,ORD-10137,0.00,216.49,145.01,175.76,Liquidation,eBay,Alex Nguyen,Acme Returns LLC,PO-137,,,2026-09-15
TRG00140,PHXAZ-RETURNS,Walmart Monitors (Finished),Headphones,HP,Good,C,Research,ORD-10140,155.86,94.67,188.99,81.26,Liquidation,Amazon,Alex Nguyen,Acme Returns LLC,PO-140,,,2026-08-12
TRG00143,BRTON-WM-FOO,Specialty,Tablets,Dell,Very Good,C,RTV Approved,ORD-10143,86.70,49.22,138.53,176.56,Retail,Amazon,Alex Nguyen,Acme Returns LLC,PO-143,,,2026-09-03
TRG00145,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Tablets,HP,Fair,A,Research,ORD-10145,18.49,123.19,215.36,259.14,Retail,Shopify,Sam Patel,Acme Returns LLC,PO-145,,,2026-09-07
TRG00147,PHXAZ-RETURNS,Warehouse Direct,Accessories,Dell,Damaged,C,,ORD-10147,113.60,99.18,171.18,139.83,Retail,Shopify,Alex Nguyen,Acme Returns LLC,PO-147,12,LOC-32,2026-08-10
TRG00148,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Monitors,Samsung,Good,A,Non RTV,ORD-10148,176.45,74.29,175.32,39.56,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-148,11,LOC-36,2026-08-23
TRG00149,DALLX-HEADPHONES,Walmart Computer Parts (Finished),Tablets,Dell,Damaged,B,,ORD-10149,54.31,125.16,56.69,95.50,Liquidation,Shopify,Jordan Lee,Acme Returns LLC,PO-149,1,LOC-9,2026-09-14
TRG00150,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Computers,Dell,Fair,A,Non RTV,ORD-10150,150.76,148.44,40.28,110.62,Retail,eBay,Alex Nguyen,Acme Returns LLC,PO-150,,,2026-08-25
TRG00151,BRTON-WM-BAR,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,Samsung,Damaged,B,RTV Liquidate,ORD-10151,66.23,60.46,83.98,232.61,Wholesale,Shopify,Jordan Lee,Acme Returns LLC,PO-151,,,2026-08-18
TRG00152,BRTON-WM-FOO,Walmart Finished Goods Wide Sku (Finished),Tablets,Dell,Very Good,C,,ORD-10152,179.49,129.12,61.31,132.81,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-152,,,2026-08-28
TRG00153,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Headphones,Dell,Damaged,B,Non RTV,ORD-10153,14.37,94.29,66.91,91.19,Liquidation,Walmart,Jordan Lee,Acme Returns LLC,PO-153,5,LOC-28,2026-08-21
TRG00155,DALLX-HEADPHONES,Walmart Monitors (Finished),Accessories,Samsung,Fair,A,,ORD-10155,139.82,125.50,110.27,112.18,Wholesale,Amazon,Jordan Lee,Acme Returns LLC,PO-155,,,2026-08-27
